word,label
鸡巴,1
雞巴,1
鸡鸡,1
几把,1
你爹,1
配,1
婊子,1
婊子,1
婊子,1
婊子,1
婊子,1
婊子,1
婊,1
婊,1
牌坊,1
妈卖批,1
鬼儿孙,1
肮脏,1
崽种,1
下流,1
无耻,1
你配吗,1
配几把,1
垃圾,1
强奸,1
爸爸,1
祖宗,1
你爹,1
骨灰,1
坟头,1
灵车,1
灵堂,1
葬礼,1
蹦迪,1
胯下,1
阴茎,1
陰莖,1
屌,1
吊,1
老二,1
屄,1
逼,1
比,1
二,1
傻屄,1
臭,1
屄,1
烂,1
屄,1
爛,1
屄,1
阴道,1
陰道,1
阴户,1
陰戶,1
装屄,1
裝,1
臭婊子,1
小姐,1
做,1
小姐,1
三陪小姐,1
奶子,1
爆乳,1
菊花,1
肏,1
操幹干,1
搞入,1
入國,1
爆,1
菊花,1
肏,1
操,1
肏,1
操,1
祖宗,1
十八代,1
肏,1
他妈的,1
他媽,1
他,1
妈巴子,1
他,1
媽巴子論,1
他媽,1
的,1
他妈的,1
鸟,1
他媽,1
鳥,1
鸟,1
鳥,1
屌,1
你,1
奶奶,1
你媽的,1
去你妈屄,1
你媽屄,1
肏你娘,1
肏你妈,1
肏你媽,1
干你妈,1
幹你媽,1
干你老母,1
幹你老母,1
干你娘,1
幹你娘,1
幹您娘,1
忘八忘,1
王八蛋,1
王八,1
鼈蛋,1
王八,1
忘八,1
王八蛋,1
王八旦,1
王八羔子,1
龟孙子,1
龜孫子,1
龟儿子,1
龜兒子,1
戴绿帽子,1
綠帽子,1
杂种,1
雜種,1
混蛋,1
混账,1
王八蛋,1
屁眼,1
屁眼儿,1
痔疮,1
我靠,1
我尻,1
尻,1
操,1
草,1
日了,1
干死,1
老不死,1
老而不死,1
狐狸精,1
三八,1
公共汽车,1
我肏,1
鸟人,1
混浑,1
混账,1
混賬,1
混蛋,1
浑蛋,1
渾蛋,1
昏蛋,1
混球,1
王八蛋,1
蛋,1
混蛋,1
笨蛋,1
捣蛋,1
搗蛋,1
滚蛋,1
滾蛋,1
坏蛋,1
壞蛋,1
滚犊子,1
滚粗,1
糊涂蛋,1
穷光蛋,1
傻瓜,1
傻子,1
呆瓜,1
呆子,1
废廢,1
流氓,1
孬种,1
孬種,1
不要脸,1
不要臉,1
娘娘腔,1
撒娇,1
娘炮,1
娘娘腔,1
太监,1
公公,1
畜生,1
不是人,1
东西,1
是什麽東西,1
不是东西,1
不要脸,1
东西,1
不要臉的東西,1
贱货,1
賤貨,1
骚货,1
騷貨死,1
死鬼,1
死,1
三八,1
臭三八,1
死不要脸,1
死,1
不要,1
臉去,1
死死,1
屎,1
粪,1
大便,1
